FAIRPOINT-9270 EDWARD ST;-121961179;49170506;
FAIRVIEW APTS-9330 CORBOULD ST;-121962167;49171529;
FIRCREST TRAILOR PARK-45715 ALMA AVE;-121960253;49101006;
FLORA APTS-9108 MARY ST;-121960844;49167423;
FRASER VILLAGE-45085 WOLFE RD;-121977963;49169832;
GLENDALE MANOR-45702 WATSON RD;-121959888;49111149;
GREYSTONE APTS-8980 MARY ST;-121961659;49164917;
HARVEST SQUARE-6577 SOUTHDOWNE PL;-121956573;49121944;
HAWTHORN PARK-45604 BRETT AVE;-121962733;49168054;
HAZELMERE-8975 MARY ST;-121961957;49164863;
HIGHGATE MANOR-9275 MARY ST;-121958937;49170453;
HODGINS MANOR-9080 MARY ST;-121961068;49167144;
HOLLY LANE-45873 LEWIS AVE;-121954811;49177708;
HOMEPORT APTS-9003 EDWARD ST;-121964183;49165624;
IMPERIAL APTS-9143 EDWARD ST;-121963283;49168086;
IVY GREEN APTS-45775 SPADINA AVE;-12195768;49169716;
JENNIFER CHRISTINE APTS-9045 MARY ST;-121961722;49166002;
JUANITA APTS-9050 MARY ST;-121961364;49166455;
KAVLA COURT-9206 CORBOULD ST;-121964043;49169554;
KEKINOW HOUSING-45555 KNIGHT RD;-121962696;49138414;
KEYPOINT VILLA-45435 KNIGHT RD;-121967651;49139589;
KING EDWARD APARTMENTS-8933 EDWARD ST;-121964375;49164426;
KING MANOR-5810 VEDDER RD;-121956937;49108421;
KNIGHT LODGE-45660 KNIGHT RD;-121960428;49137981;
LAKESIDE COURT-45810 1ST AVE;-121956659;49167184;
LANAI APTS-9462 COOK ST;-121956363;49174012;
LAS PALMAS-7450 HURON ST;-121961065;49137334;
LEE MANOR-5820 VEDDER RD;-121956937;49108421;
LEWIS COURT-45915 LEWIS AVE;-121953866;49178087;
LEWIS SQUARE-45900 LEWIS AVE;-121954157;49177507;
LOGAN MANOR-9259 EDWARD ST;-121961791;49170084;
LOGAN PLACE-9245 EDWARD ST;-121961896;49169942;
LONGHORN CREEK ESTATES-43995 CHILLIWACK MOUNTIAN RD;-122007136;49162664;
MAGNOLIA COURT-9377 CORBOULD ST;-121962116;49172597;
MAPLE HILLS APTS-8590 SUNRISE DR;-121997864;49158315;
MAPLE MEADOWS-6338 VEDDER RD;-121957122;49114354;
MARGOT MICHELLE-45823 VICTORIA AVE;-121956245;49173551;
MARLENE APTS -9310 EDWARD ST;-121960644;49171192;
MARY ST APTS-9280 MARY ST;-121958449;49170596;
MAYBERRY COURT-45573 KIPP AVE;-121963457;49172464;
MELROSE PLACE-5915 VEDDER RD;-12195861;49110005;
MONARCH PLACE-9199 EDWARD ST;-121962614;49169024;
MORNINGSIDE APTS-45520 KNIGHT RD;-121964761;49138325;
MOUNT BAKER ESTATES-46689 1ST AVE;-121932684;49169709;
MOUNTAIN VIEW APT-9091 MARY ST;-121961281;49167268;
MOUNTIAN VIEW ESTATES-46966 YALE RD;-121924904;49180538;
NOVEA MANOR-45766 HENDERSON AVE;-121957991;49175155;
ORCHARD LANE-45932 LEWIS AVE;-12195347;49177504;
PACIFIC COVE-5830 VEDDER RD;-121956937;49108421;
PARK PLACE 1-45769 STEVENSON RD;-121958323;49125248;
PARK PLACE 2-45753 STEVENSON RD;-121958372;49124808;
PARK ROYAL APTS-5905 VEDDER RD;-121958767;49109603;
PARKSIDE GARDENS-45215 WOLFE RD;-121973034;49169932;
PARKVIEW PLACE-5904 VEDDER RD;-121958201;49109485;
PATRICIA PLACE-8934 MARY ST;-121961713;49164675;
PINE COURT-5662 VEDDER RD;-121961053;49105627;
PINETREE MANOR-9170 MARY ST;-121959931;49168662;
PRINCESS TOWERS-45745 PRINCESS AVE;-121958599;49171934;
QUARTERS WEST -5960 COWICHAN ST;-121972268;49109802;
QUEENSGATE-45824 VICTORIA AVE;-121956359;49173171;
RAINBOW ESTATES-9055 ASHWELL RD;-121973771;49167021;
RIDGEWOOD COURT-9175 MARY ST;-121960222;49168696;
RIVER GROVE ESTATES-5545 PEACH RD;-121987732;49103711;
RIVER VISTA ESTATES-46058 BRIDLERIDGE CRES;-121948712;49095085;
RIVER WYND-45740 THOMAS RD;-121958829;49106495;
ROSE ARBOR APTS-9540 COOK ST;-121955243;49175639;
ROSEHILL APTS-45749  KIPP AVE;-121958794;49170944;
ROSEWOOD ESTATES-5840 VEDDER RD;-121958676;49108921;
ROSEWOOD GARDENS-9186 EDWARD ST;-121962294;49168746;
SALISH PLACE GARDEN 1- 16-45915 CHEAM AVE;-121954424;49166728;
SAPHIRE COURT-7685 AMBER DR;-121969071;49141459;
SELOMAS TRAILOR PARK-6035 VEDDER RD;-121958027;49112669;
SHADY NOOK TRAILOR PARK-50506 YALE RD;-121826817;49172023;
SILVER CREEK-7475 GARNET DR;-121973143;49137844;
SILVERWOOD APTS -9323 MARY ST;-121958265;49171269;
SPADINA REGENCY-45765 SPADINA AVE;-121957941;49169803;
SPRINGFIELD PLACE-45090 LUCKAKUCK WAY;-121976914;4914335;
STONE HAVEN APTS-9493 COOK ST;-121956255;49174559;
STONE WATER-5732 VEDDER RD;-121959795;49107186;
STONEWALL APTS -9112 MARY ST;-121960741;49167592;
STONEY CREEK RANCH-5981 COBBLESTONE ST;-121936452;49110775;
STONEY CREEK RANCH-5979 FLAGSTONE ST;-121937129;49110733;
STONEY CREEK RANCH-5988 HUNTER CREEK CRES;-121940338;49111244;
THE GABLES DOWNTOWN-8917 EDWARD ST;-121964501;49163844;
THE HARTFORD BLDG A-45595 TAMIHI WAY;-121963559;49107504;
THE HARTFORD BLDG B-45595 TAMIHI WAY;-121963559;49107504;
THE HARTFORD BLDG C-45595 TAMIHI WAY;-121963559;49107504;
THE LEGACY BLDG-44550 SOUTH SUMAS RD;-121991683;49118178;
THE MAPLES-6450 BLACKWOOD DR;-121960811;49119203;
THE QUARTERS -5851 COWICHAN ST;-121970984;49109061;
THE REGENT-45615 BRETT AVE;-121962338;49168239;
THE WILLOWS -45893 CHESTERFIELD AVE;-121954587;49165676;
TOPAZ PLACE-45438 KNIGHT RD;-121967873;49139547;
TOWNSEND GREENS-45185 WOLFE RD;-121974508;49169901;
TOWNSEND PARK-45130 WOLFE RD;-121975605;49169579;
TOWNSEND TERRACE-45085 WOLFE RD;-12197795;49169828;
VEDDER LANE-5536 VEDDER RD;-121962341;49102796;
VEDDER RIVER TRAILS-5648 VEDDER RD;-121961727;49105041;
VENTURA APTS-9461 COLLEGE ST;-121954267;49173822;
VICTORIA AVE APTS 1-46115 VICTORIA AVE;-121948848;49173014;
VICTORIA AVE APTS 2-46133 VICTORIA AVE;-121948438;49173107;
VICTORIA MEWS-45720 VICTORIA AVE;-121958787;49173964;
VILLAGE CREEK ESTATES-7715 LUCKAKUCK WAY;-121973112;49142284;
VILLAGE GREEN COMPLEX-6498 SOUTHDOWNE PL;-121956167;49120249;
VIOLA PLACE-5498 VIOLA ST;-121960865;49101915;
WALKER CREEK-46791 HUDSON RD;-121928902;49106654;
WATSON WILLOWS-45286 WATSON RD;-121971876;49111079;
WESTWIND-45222 WATSON RD;-121972887;49111083;
WESTWOOD ESTATES-45640 WATSON RD;-121962038;49111183;
WILLOUGHBY-6480 VEDDER RD;-121958729;49119191;
WILLOW LANE-6434 VEDDER RD;-121957808;49118521;
WOODSTONE PL-45140 SOUTH SUMAS RD;-121975247;49118278;
